isolate_id,genotype,collection_time,zoe_genotype,location,profile_lab,PB2,PB1,PA,HA,NP,NA,MP,NS,genotypenew
EPI_ISL_16244011,B2,2022.362,G2,NorthAmerica,B2.1,am1.2,ea1,ea1,ea1,am1.1,ea1,ea1,ea1,G4
EPI_ISL_16243306,B2,2022.362,G2,NorthAmerica,B2.1,am1.2,ea1,ea1,ea1,am1.1,ea1,ea1,ea1,G4
EPI_ISL_16102265,B2,2022.282,G2,NorthAmerica,B2.1,am1.2,ea1,ea1,ea1,am1.1,ea1,ea1,ea1,G4
EPI_ISL_16244016,B2,2022.373,G2,NorthAmerica,B2.1,am1.2,ea1,ea1,ea1,am1.1,ea1,ea1,ea1,G4
EPI_ISL_16271825,B2,2022.833,G2,NorthAmerica,B2.1,am1.2,ea1,ea1,ea1,am1.1,ea1,ea1,ea1,G4
EPI_ISL_16102276,B2,2022.285,G2,NorthAmerica,B2.1,am1.2,ea1,ea1,ea1,am1.1,ea1,ea1,ea1,G4
EPI_ISL_16102275,B2,2022.285,G2,NorthAmerica,B2.1,am1.2,ea1,ea1,ea1,am1.1,ea1,ea1,ea1,G4
EPI_ISL_15078254,B3,2022.43,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_13052430,B3,2022.247,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_15078253,B3,2022.433,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171492,B3,2022.323,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_15214845,B3,2022.266,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240456,B3,2022.342,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_16240642,B3,2022.353,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_16171493,B3,2022.323,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_15078249,B3,2022.362,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15647835,B3,2022.797,G4,Asia,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171472,B3,2022.318,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_16240643,B3,2022.353,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_16243210,B3,2022.356,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_16171471,B3,2022.318,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_13285556,B3,2022.252,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_13052720,B3,2022.304,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_13052721,B3,2022.342,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16190673,B3,2022.408,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_16243316,B3,2022.362,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_13433352,B3,2022.255,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_13433365,B3,2022.255,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004376,B3,2022.274,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004391,B3,2022.271,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004404,B3,2022.274,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004405,B3,2022.274,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171465,B3,2022.318,G2,NorthAmerica,B3.1,am2.1,ea1,ea1,ea1,am1.4.1,ea1,ea1,ea1,G3
EPI_ISL_15004407,B3,2022.274,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15078248,B3,2022.392,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171485,B3,2022.321,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004406,B3,2022.274,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171487,B3,2022.321,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171506,B3,2022.326,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171507,B3,2022.326,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171486,B3,2022.321,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171509,B3,2022.329,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171517,B3,2022.332,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171518,B3,2022.334,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16183504,B3,2022.37,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16183595,B3,2022.37,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16183656,B3,2022.318,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16189912,B3,2022.321,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16189977,B3,2022.321,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16189981,B3,2022.321,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240162,B3,2022.337,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240163,B3,2022.34,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240164,B3,2022.34,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16171508,B3,2022.329,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240224,B3,2022.351,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240225,B3,2022.351,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240227,B3,2022.348,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240228,B3,2022.348,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240229,B3,2022.348,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240239,B3,2022.348,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240351,B3,2022.345,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240352,B3,2022.345,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240353,B3,2022.345,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240497,B3,2022.351,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240508,B3,2022.351,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004377,B3,2022.274,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16240223,B3,2022.351,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004379,B3,2022.274,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004390,B3,2022.271,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16243641,B3,2022.364,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16243651,B3,2022.364,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16243660,B3,2022.362,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16243667,B3,2022.362,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16243915,B3,2022.37,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16243926,B3,2022.37,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16243981,B3,2022.362,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16243992,B3,2022.362,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244002,B3,2022.373,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244003,B3,2022.373,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244005,B3,2022.373,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244006,B3,2022.37,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244012,B3,2022.373,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244014,B3,2022.373,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244018,B3,2022.378,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244019,B3,2022.375,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244020,B3,2022.375,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244021,B3,2022.375,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244024,B3,2022.378,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16244025,B3,2022.378,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271817,B3,2022.882,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271818,B3,2022.882,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271823,B3,2022.899,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271824,B3,2022.896,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271826,B3,2022.896,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271829,B3,2022.893,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271830,B3,2022.888,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271831,B3,2022.89,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271834,B3,2022.89,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271835,B3,2022.841,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271840,B3,2022.888,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271841,B3,2022.888,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271855,B3,2022.855,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271859,B3,2022.866,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16271861,B3,2022.868,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297062,B3,2022.819,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297067,B3,2022.789,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_15004378,B3,2022.274,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297071,B3,2022.833,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297072,B3,2022.833,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297078,B3,2022.833,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297081,B3,2022.836,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297085,B3,2022.83,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297117,B3,2022.83,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297118,B3,2022.836,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297121,B3,2022.896,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297128,B3,2022.805,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297129,B3,2022.814,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297133,B3,2022.8,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297135,B3,2022.808,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297136,B3,2022.8,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297137,B3,2022.803,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297140,B3,2022.8,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297328,B3,2022.795,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297330,B3,2022.795,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297332,B3,2022.784,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297333,B3,2022.792,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297334,B3,2022.795,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297335,B3,2022.795,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297337,B3,2022.795,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297340,B3,2022.795,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297342,B3,2022.792,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297344,B3,2022.775,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297351,B3,2022.786,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297353,B3,2022.784,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297354,B3,2022.775,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297355,B3,2022.778,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297356,B3,2022.778,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297358,B3,2022.773,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297359,B3,2022.781,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297360,B3,2022.781,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297361,B3,2022.775,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297364,B3,2022.775,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297365,B3,2022.773,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297368,B3,2022.773,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297377,B3,2022.759,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297378,B3,2022.762,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297070,B3,2022.833,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297380,B3,2022.795,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16297382,B3,2022.759,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16367899,B3,2022.34,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16367971,B3,2022.408,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16891402,B3,2022.918,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_16958548,B3,2023.068,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17011958,B3,2022.932,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17011964,B3,2022.932,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17036172,B3,2022.885,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17468386,B3,2023.225,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17777525,B3,2023.252,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17777527,B3,2023.203,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17777528,B3,2023.205,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17777529,B3,2023.205,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17777530,B3,2023.205,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17777532,B3,2023.178,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17821770,B3,2023.241,G4,NorthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885849,B3,2023.175,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885870,B3,2023.192,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885871,B3,2023.192,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885872,B3,2023.192,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885873,B3,2023.186,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885874,B3,2023.186,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885876,B3,2023.181,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885877,B3,2023.175,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885945,B3,2023.197,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885946,B3,2023.197,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885949,B3,2023.178,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885950,B3,2023.178,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885952,B3,2023.164,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885954,B3,2023.164,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885962,B3,2023.186,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885964,B3,2023.178,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
EPI_ISL_17885965,B3,2023.184,G4,SouthAmerica,B3.2,am2.1,am1.2,ea1,ea1,am1.4.1,ea1,ea1,am1.1,G3
